HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7201E37	Load_Currents	_Currents	R9580	A33.6	B20.8	C14.5	<>	<>	<>	<>	<>	<>	<>
'7201E51	Fault_Currents	_Fault Currents	R9580	<>	<>	<>	2997	177	Wipeout ON	<>	<>	<>	<>
'7201E70	Load_Currents	_Currents	R20465	A7.1	B12.9	C18.0	<>	<>	<>	<>	<>	<>	<>
'7201E8A	Fault_Currents	_Fault Currents	R20465	<>	<>	<>	2593	176	Wipeout ON	<>	<>	<>	<>
'7201EA9	Load_Currents	_Currents	R38	A6.7	B3.6		<>	<>	<>	<>	<>	<>	<>
'7201EC3	Fault_Currents	_Fault Currents	R38	<>	<>	<>	1775	169	Wipeout ON	<>	<>	<>	<>
'7201EE2	Load_Currents	_Currents	R33	A15.5	B15.8	C20.4	<>	<>	<>	<>	<>	<>	<>
'7201EFC	Fault_Currents	_Fault Currents	R33	<>	<>	<>	1945	170	Wipeout ON	<>	<>	<>	<>
'7201F35	Fault_Currents	_Fault Currents	R53	<>	<>	<>	803	153	Wipeout ON	<>	<>	<>	<>
'7201F54	Load_Currents	_Currents	R54	A11.5	B13.9	C20.9	<>	<>	<>	<>	<>	<>	<>
'7201F6E	Fault_Currents	_Fault Currents	R54	<>	<>	<>	779	147	Wipeout ON	<>	<>	<>	<>
'7201F8D	Voltage_Box	_Voltages	PC56067	<>	<>	<>	<>	<>	Wipeout On	121.3	4.7	3.7	4.5
'7201FB6	Load_Currents	_Currents	R46	A13.0	B0.1		<>	<>	<>	<>	<>	<>	<>
'7201FD0	Fault_Currents	_Fault Currents	R46	<>	<>	<>	654	143	Wipeout ON	<>	<>	<>	<>
'7201FEF	Load_Currents	_Currents	R6333	A4.5	B5.2	C2.1	<>	<>	<>	<>	<>	<>	<>
'7202009	Fault_Currents	_Fault Currents	R6333	<>	<>	<>	295	108	Wipeout ON	<>	<>	<>	<>
'7202028	Load_Currents	_Currents	R6335	B4.3	C6.8		<>	<>	<>	<>	<>	<>	<>
'7202042	Fault_Currents	_Fault Currents	R6335	<>	<>	<>	274	106	Wipeout ON	<>	<>	<>	<>
'7202061	Load_Currents	_Currents	R35	A8.5			<>	<>	<>	<>	<>	<>	<>
'720207B	Fault_Currents	_Fault Currents	R35	<>	<>	<>	225	104	Wipeout ON	<>	<>	<>	<>
'720209A	Load_Currents	_Currents	R14030	C6.9			<>	<>	<>	<>	<>	<>	<>
'72020B4	Fault_Currents	_Fault Currents	R14030	<>	<>	<>	390	128	Wipeout ON	<>	<>	<>	<>
'72020D2	Voltage_Box	_Voltages	PC57645	<>	<>	<>	<>	<>	Wipeout On	121.6	4.4	4.4	5.5
'72020F1	Voltage_Box	_Voltages	PC57007	<>	<>	<>	<>	<>	Wipeout On	121.0	7.5	7.1	17.1
'7202110	Fault_Currents	_Fault Currents	PC57007	<>	<>	<>	137	81	Wipeout ON	<>	<>	<>	<>
'7202125	Voltage_Box	_Voltages	PC56406	<>	<>	<>	<>	<>	Wipeout On	120.0	10.7	9.7	15.1
'7202144	Fault_Currents	_Fault Currents	PC56406	<>	<>	<>	156	87	Wipeout ON	<>	<>	<>	<>
'7202159	Voltage_Box	_Voltages	PC58684	<>	<>	<>	<>	<>	Wipeout On	122.8	6.3	6.3	13.7
'7202178	Fault_Currents	_Fault Currents	PC58684	<>	<>	<>	202	90	Wipeout ON	<>	<>	<>	<>
'720218D	Voltage_Box	_Voltages	PC9316	<>	<>	<>	<>	<>	Wipeout On	122.5	4.9	6.2	12.9
'72021AC	Fault_Currents	_Fault Currents	PC9316	<>	<>	<>	183	94	Wipeout ON	<>	<>	<>	<>
'72021C1	Voltage_Box	_Voltages	PC48213	<>	<>	<>	<>	<>	Wipeout On	118.6	14.6	11.8	22.7
'72021E0	Fault_Currents	_Fault Currents	PC48213	<>	<>	<>	156	78	Wipeout ON	<>	<>	<>	<>
'72021F5	Voltage_Box	_Voltages	PC62371	<>	<>	<>	<>	<>	Wipeout On	123.6	2.4	2.4	12.3
'7202214	Fault_Currents	_Fault Currents	PC62371	<>	<>	<>	220	104	Wipeout ON	<>	<>	<>	<>
'7202229	Voltage_Box	_Voltages	PC86736	<>	<>	<>	<>	<>	Wipeout On	124.7	1.3	1.3	10.3
'7202248	Fault_Currents	_Fault Currents	PC86736	<>	<>	<>	323	113	Wipeout ON	<>	<>	<>	<>
