HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7D30298	Fault_Currents	_Fault Currents	SECT29017	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7D302C4	Load_Currents	_Currents	SECT31761	A6.2	B10.6	C9.8	<>	<>	<>	<>	<>	<>	<>
'7D302E8	Fault_Currents	_Fault Currents	SECT31761	<>	<>	<>	0	10	Wipeout ON	<>	<>	<>	<>
'7D30305	Load_Currents	_Currents	SECT29505	A1.3	B7.0		<>	<>	<>	<>	<>	<>	<>
'7D30329	Fault_Currents	_Fault Currents	SECT29505	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7D30371	Load_Currents	_Currents	SECT39445	A11.9	B20.0		<>	<>	<>	<>	<>	<>	<>
'7D30390	Fault_Currents	_Fault Currents	SECT39445	<>	<>	<>	0	20	Wipeout ON	<>	<>	<>	<>
'7D303A9	Load_Currents	_Currents	SECT37380	A0.6	B3.9		<>	<>	<>	<>	<>	<>	<>
'7D303C8	Fault_Currents	_Fault Currents	SECT37380	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'7D303E1	Load_Currents	_Currents	SECT37597	A1.2	B3.7		<>	<>	<>	<>	<>	<>	<>
'7D30400	Fault_Currents	_Fault Currents	SECT37597	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'7D30419	Load_Currents	_Currents	SECT37603	A1.2	B3.9		<>	<>	<>	<>	<>	<>	<>
'7D30438	Fault_Currents	_Fault Currents	SECT37603	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'7D30451	Load_Currents	_Currents	SECT38004	A4.5	B6.1	C6.6	<>	<>	<>	<>	<>	<>	<>
'7D30470	Fault_Currents	_Fault Currents	SECT38004	<>	<>	<>	6	6	Wipeout ON	<>	<>	<>	<>
'7D30489	Load_Currents	_Currents	SECT35214	A0.9	B3.0		<>	<>	<>	<>	<>	<>	<>
'7D304A8	Fault_Currents	_Fault Currents	SECT35214	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'7D30540	Load_Currents	_Currents	SECT17760	A6.0	B9.8	C5.2	<>	<>	<>	<>	<>	<>	<>
'7D3055F	Fault_Currents	_Fault Currents	SECT17760	<>	<>	<>	5	9	Wipeout ON	<>	<>	<>	<>
'7D50262	Load_Currents	_Currents	SECT17511	A4.3	B6.2		<>	<>	<>	<>	<>	<>	<>
'7D50281	Fault_Currents	_Fault Currents	SECT17511	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7D502A4	Load_Currents	_Currents	SECT22640	A53.8	B13.0	C1.0	<>	<>	<>	<>	<>	<>	<>
'7D502C3	Fault_Currents	_Fault Currents	SECT22640	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7D502E6	Load_Currents	_Currents	SECT21893	A58.9	B18.6	C8.4	<>	<>	<>	<>	<>	<>	<>
'7D50305	Fault_Currents	_Fault Currents	SECT21893	<>	<>	<>	0	18	Wipeout ON	<>	<>	<>	<>
'7D50327	Load_Currents	_Currents	SECT21097	A13.3	B5.3		<>	<>	<>	<>	<>	<>	<>
'7D50346	Fault_Currents	_Fault Currents	SECT21097	<>	<>	<>	0	5	Wipeout ON	<>	<>	<>	<>
'7D5035F	Load_Currents	_Currents	SECT21198	A31.1	B5.7	C6.7	<>	<>	<>	<>	<>	<>	<>
'7D5037E	Fault_Currents	_Fault Currents	SECT21198	<>	<>	<>	5	5	Wipeout ON	<>	<>	<>	<>
'7D503AA	Load_Currents	_Currents	SECT20065	A15.3	B6.3		<>	<>	<>	<>	<>	<>	<>
'7D503C9	Fault_Currents	_Fault Currents	SECT20065	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7D503EC	Load_Currents	_Currents	SECT19720	A4.6	B6.1	C21.2	<>	<>	<>	<>	<>	<>	<>
'7D5040B	Fault_Currents	_Fault Currents	SECT19720	<>	<>	<>	20	6	Wipeout ON	<>	<>	<>	<>
'7D5042E	Load_Currents	_Currents	SECT18306	A7.5	B7.0		<>	<>	<>	<>	<>	<>	<>
'7D5044D	Fault_Currents	_Fault Currents	SECT18306	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7D67836	Load_Currents	_Currents	SECT45941	A10.5	B12.8		<>	<>	<>	<>	<>	<>	<>
'7D67855	Fault_Currents	_Fault Currents	SECT45941	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
