HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106B09	Fault_Currents	_Fault Currents	span_11294	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	324	129
'7106B0E	Fault_Currents	_Fault Currents	OCR_A40-3/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	576	157
'7106B13	Fault_Currents	_Fault Currents	span_14252	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	426	136
'7106B18	Fault_Currents	_Fault Currents	span_748	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	323	125
'7106B1D	Fault_Currents	_Fault Currents	span_45624	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	336	126
'7106B22	Fault_Currents	_Fault Currents	span_4894	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	269	115
'7106B27	Fault_Currents	_Fault Currents	span_4832	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	333	129
'7106B2C	Fault_Currents	_Fault Currents	span_4006	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	283	117
'7106B31	Fault_Currents	_Fault Currents	OCR_A/725.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	546	145
'7106B3B	Fault_Currents	_Fault Currents	OCR_A72/1.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1020	160
'7106B40	Fault_Currents	_Fault Currents	OCR_A43/58.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	498	144
'7106B45	Fault_Currents	_Fault Currents	OCR_A43/54.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	524	147
'7106B4A	Fault_Currents	_Fault Currents	OCR_A/438.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	649	145
'7106B4F	Fault_Currents	_Fault Currents	OCR_A46/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	509	146
'7106B59	Fault_Currents	_Fault Currents	span_6179	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	256	113
'7106B5E	Fault_Currents	_Fault Currents	OCR_A/472.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	885	157
'7106B63	Fault_Currents	_Fault Currents	OCR_A58/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1544	173
'7106B68	Fault_Currents	_Fault Currents	OCR_A53-5-4-1/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1627	173
'7106B6D	Fault_Currents	_Fault Currents	OCR_A58-1/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1001	162
'7106B72	Fault_Currents	_Fault Currents	OCR_A53/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1109	169
'7106B77	Fault_Currents	_Fault Currents	OCR_A52/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1107	169
'7106B7C	Fault_Currents	_Fault Currents	OCR_A50A/8.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1151	167
'7106B81	Fault_Currents	_Fault Currents	OCR_A50A-1/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	781	162
'7106B8B	Fault_Currents	_Fault Currents	span_5295	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	305	125
'7106B90	Fault_Currents	_Fault Currents	OCR_A53-8/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	530	150
'7106B95	Fault_Currents	_Fault Currents	OCR_A53/85.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	703	151
'7106B9A	Fault_Currents	_Fault Currents	OCR_A53-7/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	574	153
'7106B9F	Fault_Currents	_Fault Currents	OCR_A53-7-5A/36.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	563	152
'7106BA4	Fault_Currents	_Fault Currents	span_9855	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	429	142
'7106BAE	Fault_Currents	_Fault Currents	OCR_A53-7/146.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	813	163
'7106BB3	Fault_Currents	_Fault Currents	OCR_A65/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1512	172
'7106BB8	Fault_Currents	_Fault Currents	OCR_A63-3/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1199	170
'7106BBD	Fault_Currents	_Fault Currents	OCR_4D-17/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1171	166
'7106BC2	Fault_Currents	_Fault Currents	OCR_A63/33.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1014	167
'7106BC7	Fault_Currents	_Fault Currents	OCR_A63-5/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1261	168
'7106BCC	Fault_Currents	_Fault Currents	OCR_4D-17/40.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	634	155
'7106BD1	Fault_Currents	_Fault Currents	span_53132	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	507	145
'7106BD6	Fault_Currents	_Fault Currents	span_53115	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	593	151
'7106BE0	Fault_Currents	_Fault Currents	OCR_D34-20/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	388	135
