HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70D8C2D	Fault_Currents	_Fault Currents	36-11-16	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8C9F	Voltage_Box	_Voltages	36-10-34-A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8CED	Load_Currents	_Currents	36-12-64	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8D3F	Fault_Currents	_Fault Currents	36-12-64	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8D85	Load_Currents	_Currents	36-12-59	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8DD7	Fault_Currents	_Fault Currents	36-12-59	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8E25	Load_Currents	_Currents	36-12-24	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8E77	Fault_Currents	_Fault Currents	36-12-24	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8EB1	Load_Currents	_Currents	35-07-49	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8F03	Fault_Currents	_Fault Currents	35-07-49	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8F47	Load_Currents	_Currents	35-06-66	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8F99	Fault_Currents	_Fault Currents	35-06-66	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8FDD	Load_Currents	_Currents	over_1152	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D902F	Fault_Currents	_Fault Currents	over_1152	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D9205	Load_Currents	_Currents	35-04-08	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9257	Fault_Currents	_Fault Currents	35-04-08	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D929B	Load_Currents	_Currents	over_1150	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D92ED	Fault_Currents	_Fault Currents	27-22-29 A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D94F1	Fault_Currents	_Fault Currents	over_1150	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D952B	Load_Currents	_Currents	27-22-27	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D957D	Fault_Currents	_Fault Currents	27-22-27	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D95B7	Load_Currents	_Currents	27-22-29 A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D95FB	Load_Currents	_Currents	27-24-28	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D964D	Fault_Currents	_Fault Currents	27-24-28	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D96C9	Voltage_Box	_Voltages	27-09-44-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D9717	Load_Currents	_Currents	27-09-09 A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9769	Fault_Currents	_Fault Currents	27-09-09 A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D97D1	Fault_Currents	_Fault Currents	27-04-54	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D9823	Fault_Currents	_Fault Currents	27-08-17	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D985D	Load_Currents	_Currents	27-08-17	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9897	Load_Currents	_Currents	27-04-54	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9A9D	Load_Currents	_Currents	26-14-88	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9AEF	Fault_Currents	_Fault Currents	26-14-88	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D9B33	Load_Currents	_Currents	26-14-57	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9B85	Fault_Currents	_Fault Currents	26-14-57	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D9FA1	Load_Currents	_Currents	span_59856	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D9FF3	Fault_Currents	_Fault Currents	span_59856	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA24F	Load_Currents	_Currents	25-23-03	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DA269	Fault_Currents	_Fault Currents	25-23-03	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA2A3	Load_Currents	_Currents	over_1400	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DA2F5	Fault_Currents	_Fault Currents	over_1400	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA367	Voltage_Box	_Voltages	span_59601	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA3E3	Voltage_Box	_Voltages	span_93999	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA60F	Load_Currents	_Currents	26-07-92	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DA661	Fault_Currents	_Fault Currents	26-07-92	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
